Position,Complexity,SequenceID,K
0,0,"Super MUL 720",15
1,0,"Super MUL 720",15
2,0,"Super MUL 720",15
3,0,"Super MUL 720",15
4,0,"Super MUL 720",15
5,0,"Super MUL 720",15
6,0,"Super MUL 720",15
7,0,"Super MUL 720",15
8,0,"Super MUL 720",15
9,0,"Super MUL 720",15
10,0,"Super MUL 720",15
11,0,"Super MUL 720",15
12,0,"Super MUL 720",15
13,0,"Super MUL 720",15
14,0,"Super MUL 720",15
15,2,"Super MUL 720",15
16,2,"Super MUL 720",15
17,2,"Super MUL 720",15
18,2,"Super MUL 720",15
19,2,"Super MUL 720",15
20,2,"Super MUL 720",15
21,2,"Super MUL 720",15
22,2,"Super MUL 720",15
23,2,"Super MUL 720",15
24,2,"Super MUL 720",15
25,2,"Super MUL 720",15
26,2,"Super MUL 720",15
27,2,"Super MUL 720",15
28,2,"Super MUL 720",15
29,2,"Super MUL 720",15
30,2,"Super MUL 720",15
31,0.157541,"Super MUL 720",15
32,0.157541,"Super MUL 720",15
33,0.157541,"Super MUL 720",15
34,0.157541,"Super MUL 720",15
35,0.157541,"Super MUL 720",15
36,0.157541,"Super MUL 720",15
37,0.157541,"Super MUL 720",15
38,0.157541,"Super MUL 720",15
39,0.157541,"Super MUL 720",15
40,0.157541,"Super MUL 720",15
41,0.157541,"Super MUL 720",15
42,0.157541,"Super MUL 720",15
43,0.157541,"Super MUL 720",15
44,0.157541,"Super MUL 720",15
45,0.157541,"Super MUL 720",15
46,0.157541,"Super MUL 720",15
47,0.157541,"Super MUL 720",15
48,0.157541,"Super MUL 720",15
49,0.157541,"Super MUL 720",15
50,0.0558532,"Super MUL 720",15
51,0.0558532,"Super MUL 720",15
52,0.0558532,"Super MUL 720",15
53,0.0558532,"Super MUL 720",15
54,0.0558532,"Super MUL 720",15
55,0.0558532,"Super MUL 720",15
56,0.0558532,"Super MUL 720",15
57,0.0558532,"Super MUL 720",15
58,0.0558532,"Super MUL 720",15
59,0.0422282,"Super MUL 720",15
60,0.0422282,"Super MUL 720",15
61,0.0422282,"Super MUL 720",15
62,0.0339473,"Super MUL 720",15
63,0.0339473,"Super MUL 720",15
64,0.0339473,"Super MUL 720",15
65,0.0339473,"Super MUL 720",15
66,0.0339473,"Super MUL 720",15
67,0.0339473,"Super MUL 720",15
68,0.0339473,"Super MUL 720",15
69,0.0339473,"Super MUL 720",15
70,0.0339473,"Super MUL 720",15
71,0.0339473,"Super MUL 720",15
72,0.0339473,"Super MUL 720",15
73,0.0339473,"Super MUL 720",15
74,0.0339473,"Super MUL 720",15
75,0.0339473,"Super MUL 720",15
76,0.0339473,"Super MUL 720",15
77,0.0339473,"Super MUL 720",15
78,0.0339473,"Super MUL 720",15
79,0.0339473,"Super MUL 720",15
80,0.0339473,"Super MUL 720",15
81,0.0339473,"Super MUL 720",15
82,0.0339473,"Super MUL 720",15
83,0.0339473,"Super MUL 720",15
84,0.0339473,"Super MUL 720",15
