Position,Complexity,SequenceID,K
0,0,"1-mutated",15
1,0,"1-mutated",15
2,0,"1-mutated",15
3,0,"1-mutated",15
4,0,"1-mutated",15
5,0,"1-mutated",15
6,0,"1-mutated",15
7,0,"1-mutated",15
8,0,"1-mutated",15
9,0,"1-mutated",15
10,0,"1-mutated",15
11,0,"1-mutated",15
12,0,"1-mutated",15
13,0,"1-mutated",15
14,0,"1-mutated",15
15,0.157541,"1-mutated",15
16,0.157541,"1-mutated",15
17,0.157541,"1-mutated",15
18,0.157541,"1-mutated",15
19,0.157541,"1-mutated",15
20,0.157541,"1-mutated",15
21,0.157541,"1-mutated",15
22,0.157541,"1-mutated",15
23,0.157541,"1-mutated",15
24,0.157541,"1-mutated",15
25,0.157541,"1-mutated",15
26,0.157541,"1-mutated",15
27,0.157541,"1-mutated",15
28,0.157541,"1-mutated",15
29,0.157541,"1-mutated",15
30,0.157541,"1-mutated",15
31,0.157541,"1-mutated",15
32,0.157541,"1-mutated",15
33,0.157541,"1-mutated",15
34,0.157541,"1-mutated",15
35,0.157541,"1-mutated",15
36,0.157541,"1-mutated",15
37,0.157541,"1-mutated",15
38,0.157541,"1-mutated",15
39,0.157541,"1-mutated",15
40,0.157541,"1-mutated",15
41,0.157541,"1-mutated",15
42,0.157541,"1-mutated",15
43,0.157541,"1-mutated",15
44,0.157541,"1-mutated",15
45,0.157541,"1-mutated",15
46,0.157541,"1-mutated",15
47,4.85798,"1-mutated",15
48,2,"1-mutated",15
49,2,"1-mutated",15
50,2,"1-mutated",15
51,2,"1-mutated",15
52,2,"1-mutated",15
53,2,"1-mutated",15
54,2,"1-mutated",15
55,2,"1-mutated",15
56,2,"1-mutated",15
57,2,"1-mutated",15
58,2,"1-mutated",15
59,2,"1-mutated",15
60,2,"1-mutated",15
61,2,"1-mutated",15
62,2,"1-mutated",15
63,2,"1-mutated",15
64,2,"1-mutated",15
65,2,"1-mutated",15
66,2,"1-mutated",15
67,2,"1-mutated",15
68,2,"1-mutated",15
69,2,"1-mutated",15
70,2,"1-mutated",15
71,0.157541,"1-mutated",15
72,0.157541,"1-mutated",15
73,0.157541,"1-mutated",15
74,0.157541,"1-mutated",15
75,0.157541,"1-mutated",15
76,0.157541,"1-mutated",15
77,0.157541,"1-mutated",15
78,0.157541,"1-mutated",15
79,0.157541,"1-mutated",15
80,0.157541,"1-mutated",15
81,0.157541,"1-mutated",15
82,0.157541,"1-mutated",15
83,0.157541,"1-mutated",15
84,0.157541,"1-mutated",15
85,0.157541,"1-mutated",15
86,0.157541,"1-mutated",15
87,0.157541,"1-mutated",15
88,0.157541,"1-mutated",15
89,0.157541,"1-mutated",15
90,0.157541,"1-mutated",15
91,0.157541,"1-mutated",15
92,0.157541,"1-mutated",15
93,0.157541,"1-mutated",15
94,0.157541,"1-mutated",15
95,0.157541,"1-mutated",15
96,0.157541,"1-mutated",15
97,0.157541,"1-mutated",15
98,0.157541,"1-mutated",15
99,0.157541,"1-mutated",15
100,0.157541,"1-mutated",15
101,0.157541,"1-mutated",15
102,0.157541,"1-mutated",15
103,0.157541,"1-mutated",15
104,0.157541,"1-mutated",15
105,0.157541,"1-mutated",15
106,0.157541,"1-mutated",15
107,0.157541,"1-mutated",15
108,0.157541,"1-mutated",15
109,0.157541,"1-mutated",15
110,0.157541,"1-mutated",15
111,0.157541,"1-mutated",15
112,0.157541,"1-mutated",15
113,0.157541,"1-mutated",15
114,0.157541,"1-mutated",15
115,0.157541,"1-mutated",15
116,0.157541,"1-mutated",15
117,0.157541,"1-mutated",15
118,0.157541,"1-mutated",15
119,0.157541,"1-mutated",15
120,0.157541,"1-mutated",15
121,0.157541,"1-mutated",15
122,0.157541,"1-mutated",15
123,0.157541,"1-mutated",15
124,0.157541,"1-mutated",15
125,0.157541,"1-mutated",15
126,0.157541,"1-mutated",15
127,0.157541,"1-mutated",15
128,0.157541,"1-mutated",15
129,0.157541,"1-mutated",15
130,0.157541,"1-mutated",15
131,0.157541,"1-mutated",15
132,0.157541,"1-mutated",15
133,0.157541,"1-mutated",15
134,0.157541,"1-mutated",15
135,0.157541,"1-mutated",15
136,0.157541,"1-mutated",15
137,0.157541,"1-mutated",15
138,0.157541,"1-mutated",15
139,0.157541,"1-mutated",15
140,0.157541,"1-mutated",15
141,0.157541,"1-mutated",15
142,0.157541,"1-mutated",15
143,0.157541,"1-mutated",15
144,0.157541,"1-mutated",15
145,0.157541,"1-mutated",15
146,0.157541,"1-mutated",15
147,0.157541,"1-mutated",15
148,0.157541,"1-mutated",15
149,0.157541,"1-mutated",15
150,0.157541,"1-mutated",15
151,0.157541,"1-mutated",15
152,0.157541,"1-mutated",15
153,0.157541,"1-mutated",15
154,0.157541,"1-mutated",15
155,0.157541,"1-mutated",15
156,4.85798,"1-mutated",15
157,2,"1-mutated",15
158,2,"1-mutated",15
159,2,"1-mutated",15
160,2,"1-mutated",15
161,2,"1-mutated",15
162,2,"1-mutated",15
163,2,"1-mutated",15
164,2,"1-mutated",15
165,2,"1-mutated",15
166,2,"1-mutated",15
167,2,"1-mutated",15
168,2,"1-mutated",15
169,2,"1-mutated",15
170,2,"1-mutated",15
171,2,"1-mutated",15
172,0.157541,"1-mutated",15
173,0.157541,"1-mutated",15
174,0.157541,"1-mutated",15
175,0.157541,"1-mutated",15
176,0.157541,"1-mutated",15
177,0.157541,"1-mutated",15
178,0.157541,"1-mutated",15
179,0.157541,"1-mutated",15
180,0.157541,"1-mutated",15
181,0.157541,"1-mutated",15
182,0.157541,"1-mutated",15
183,0.157541,"1-mutated",15
184,0.157541,"1-mutated",15
185,4.85798,"1-mutated",15
186,2,"1-mutated",15
187,2,"1-mutated",15
188,2,"1-mutated",15
189,2,"1-mutated",15
190,2,"1-mutated",15
191,2,"1-mutated",15
192,2,"1-mutated",15
193,2,"1-mutated",15
194,2,"1-mutated",15
195,2,"1-mutated",15
196,2,"1-mutated",15
197,2,"1-mutated",15
198,2,"1-mutated",15
199,2,"1-mutated",15
200,0.157541,"1-mutated",15
201,0.157541,"1-mutated",15
202,0.157541,"1-mutated",15
203,0.157541,"1-mutated",15
204,0.157541,"1-mutated",15
205,0.157541,"1-mutated",15
206,0.157541,"1-mutated",15
207,0.157541,"1-mutated",15
208,0.157541,"1-mutated",15
209,0.157541,"1-mutated",15
210,0.157541,"1-mutated",15
211,0.157541,"1-mutated",15
212,0.157541,"1-mutated",15
213,0.157541,"1-mutated",15
214,0.157541,"1-mutated",15
215,0.157541,"1-mutated",15
216,0.157541,"1-mutated",15
217,0.157541,"1-mutated",15
218,0.157541,"1-mutated",15
219,0.157541,"1-mutated",15
220,0.157541,"1-mutated",15
221,0.157541,"1-mutated",15
222,0.157541,"1-mutated",15
223,0.157541,"1-mutated",15
224,0.157541,"1-mutated",15
225,0.157541,"1-mutated",15
226,0.157541,"1-mutated",15
227,0.157541,"1-mutated",15
228,0.157541,"1-mutated",15
229,0.157541,"1-mutated",15
230,0.157541,"1-mutated",15
231,0.157541,"1-mutated",15
232,0.157541,"1-mutated",15
233,0.157541,"1-mutated",15
234,0.157541,"1-mutated",15
235,0.157541,"1-mutated",15
236,0.157541,"1-mutated",15
237,0.157541,"1-mutated",15
238,0.157541,"1-mutated",15
239,0.157541,"1-mutated",15
240,0.157541,"1-mutated",15
241,0.157541,"1-mutated",15
242,0.157541,"1-mutated",15
243,0.157541,"1-mutated",15
244,0.157541,"1-mutated",15
245,0.157541,"1-mutated",15
246,0.157541,"1-mutated",15
247,0.157541,"1-mutated",15
248,0.157541,"1-mutated",15
249,0.157541,"1-mutated",15
250,0.157541,"1-mutated",15
251,0.157541,"1-mutated",15
252,0.157541,"1-mutated",15
253,0.157541,"1-mutated",15
254,0.157541,"1-mutated",15
255,0.157541,"1-mutated",15
256,0.157541,"1-mutated",15
257,0.157541,"1-mutated",15
258,0.157541,"1-mutated",15
259,0.157541,"1-mutated",15
260,0.157541,"1-mutated",15
261,0.157541,"1-mutated",15
262,0.157541,"1-mutated",15
263,0.157541,"1-mutated",15
264,0.157541,"1-mutated",15
265,0.157541,"1-mutated",15
266,0.157541,"1-mutated",15
267,0.157541,"1-mutated",15
268,0.157541,"1-mutated",15
269,4.85798,"1-mutated",15
270,2,"1-mutated",15
271,2,"1-mutated",15
272,2,"1-mutated",15
273,2,"1-mutated",15
274,2,"1-mutated",15
275,2,"1-mutated",15
276,2,"1-mutated",15
277,2,"1-mutated",15
278,2,"1-mutated",15
279,2,"1-mutated",15
280,2,"1-mutated",15
281,2,"1-mutated",15
282,2,"1-mutated",15
283,2,"1-mutated",15
284,2,"1-mutated",15
285,0.157541,"1-mutated",15
286,0.157541,"1-mutated",15
287,0.157541,"1-mutated",15
288,0.157541,"1-mutated",15
289,0.157541,"1-mutated",15
290,0.157541,"1-mutated",15
291,0.157541,"1-mutated",15
292,0.157541,"1-mutated",15
293,0.157541,"1-mutated",15
294,0.157541,"1-mutated",15
295,0.157541,"1-mutated",15
296,0.157541,"1-mutated",15
297,0.157541,"1-mutated",15
298,0.157541,"1-mutated",15
299,0.157541,"1-mutated",15
300,0.157541,"1-mutated",15
301,0.157541,"1-mutated",15
302,0.157541,"1-mutated",15
303,0.157541,"1-mutated",15
304,0.157541,"1-mutated",15
