Position,Complexity,SequenceID,K
0,0,"100",15
1,0,"100",15
2,0,"100",15
3,0,"100",15
4,0,"100",15
5,0,"100",15
6,0,"100",15
7,0,"100",15
8,0,"100",15
9,0,"100",15
10,0,"100",15
11,0,"100",15
12,0,"100",15
13,0,"100",15
14,0,"100",15
15,2,"100",15
16,2,"100",15
17,2,"100",15
18,2,"100",15
19,2,"100",15
20,2,"100",15
21,2,"100",15
22,2,"100",15
23,2,"100",15
24,2,"100",15
25,2,"100",15
26,2,"100",15
27,2,"100",15
28,2,"100",15
29,2,"100",15
30,2,"100",15
31,2,"100",15
32,2,"100",15
33,2,"100",15
34,2,"100",15
35,2,"100",15
36,2,"100",15
37,2,"100",15
38,2,"100",15
39,2,"100",15
40,2,"100",15
41,2,"100",15
42,2,"100",15
43,2,"100",15
44,2,"100",15
45,2,"100",15
46,2,"100",15
47,2,"100",15
48,2,"100",15
49,2,"100",15
50,2,"100",15
51,2,"100",15
52,2,"100",15
53,2,"100",15
54,2,"100",15
55,2,"100",15
56,2,"100",15
57,2,"100",15
58,2,"100",15
59,2,"100",15
60,2,"100",15
61,2,"100",15
62,2,"100",15
63,2,"100",15
64,2,"100",15
65,2,"100",15
66,2,"100",15
67,2,"100",15
68,2,"100",15
69,2,"100",15
70,2,"100",15
71,2,"100",15
72,2,"100",15
73,2,"100",15
74,2,"100",15
75,2,"100",15
76,2,"100",15
77,2,"100",15
78,2,"100",15
79,2,"100",15
80,2,"100",15
81,2,"100",15
82,2,"100",15
83,2,"100",15
84,2,"100",15
85,2,"100",15
86,2,"100",15
87,2,"100",15
88,2,"100",15
89,2,"100",15
90,2,"100",15
91,2,"100",15
92,2,"100",15
93,2,"100",15
94,2,"100",15
95,2,"100",15
96,2,"100",15
97,2,"100",15
98,2,"100",15
99,2,"100",15
100,2,"100",15
101,2,"100",15
102,2,"100",15
103,2,"100",15
104,2,"100",15
105,2,"100",15
106,2,"100",15
107,2,"100",15
108,2,"100",15
109,2,"100",15
110,2,"100",15
111,2,"100",15
112,2,"100",15
113,2,"100",15
114,2,"100",15
115,2,"100",15
116,2,"100",15
117,2,"100",15
118,2,"100",15
119,2,"100",15
120,2,"100",15
121,2,"100",15
122,2,"100",15
123,2,"100",15
124,2,"100",15
125,2,"100",15
126,2,"100",15
127,2,"100",15
128,2,"100",15
129,2,"100",15
130,2,"100",15
131,2,"100",15
132,2,"100",15
133,2,"100",15
134,2,"100",15
135,2,"100",15
136,2,"100",15
137,2,"100",15
138,2,"100",15
139,2,"100",15
140,2,"100",15
141,2,"100",15
142,2,"100",15
143,2,"100",15
144,2,"100",15
145,2,"100",15
146,2,"100",15
147,2,"100",15
148,2,"100",15
149,2,"100",15
150,2,"100",15
151,2,"100",15
152,2,"100",15
153,2,"100",15
154,2,"100",15
155,2,"100",15
156,2,"100",15
157,2,"100",15
158,2,"100",15
159,2,"100",15
160,2,"100",15
161,2,"100",15
162,2,"100",15
163,2,"100",15
164,2,"100",15
165,2,"100",15
166,2,"100",15
167,2,"100",15
168,2,"100",15
169,2,"100",15
170,2,"100",15
171,2,"100",15
172,2,"100",15
173,2,"100",15
174,2,"100",15
175,2,"100",15
176,2,"100",15
177,2,"100",15
178,2,"100",15
179,2,"100",15
180,2,"100",15
181,2,"100",15
182,2,"100",15
183,2,"100",15
184,2,"100",15
185,2,"100",15
186,2,"100",15
187,2,"100",15
188,2,"100",15
189,2,"100",15
190,2,"100",15
191,2,"100",15
192,2,"100",15
193,2,"100",15
194,2,"100",15
195,2,"100",15
196,2,"100",15
197,2,"100",15
198,2,"100",15
199,2,"100",15
200,2,"100",15
201,2,"100",15
202,2,"100",15
203,2,"100",15
204,2,"100",15
205,2,"100",15
206,2,"100",15
207,2,"100",15
208,2,"100",15
209,2,"100",15
210,2,"100",15
211,2,"100",15
212,2,"100",15
213,2,"100",15
214,2,"100",15
215,2,"100",15
216,2,"100",15
217,2,"100",15
218,2,"100",15
219,2,"100",15
220,2,"100",15
221,2,"100",15
222,2,"100",15
223,2,"100",15
224,2,"100",15
225,2,"100",15
226,2,"100",15
227,2,"100",15
228,2,"100",15
229,2,"100",15
230,2,"100",15
231,2,"100",15
232,2,"100",15
233,2,"100",15
234,2,"100",15
235,2,"100",15
236,2,"100",15
237,2,"100",15
238,2,"100",15
239,2,"100",15
240,2,"100",15
241,2,"100",15
242,2,"100",15
243,2,"100",15
244,2,"100",15
245,2,"100",15
246,2,"100",15
247,2,"100",15
248,2,"100",15
249,2,"100",15
250,2,"100",15
251,2,"100",15
252,2,"100",15
253,2,"100",15
254,2,"100",15
255,2,"100",15
256,2,"100",15
257,2,"100",15
258,2,"100",15
259,2,"100",15
260,2,"100",15
261,2,"100",15
262,2,"100",15
263,2,"100",15
264,2,"100",15
265,2,"100",15
266,2,"100",15
267,2,"100",15
268,2,"100",15
269,2,"100",15
270,2,"100",15
271,2,"100",15
272,2,"100",15
273,2,"100",15
274,2,"100",15
275,2,"100",15
276,2,"100",15
277,2,"100",15
278,2,"100",15
279,2,"100",15
280,2,"100",15
281,2,"100",15
282,2,"100",15
283,2,"100",15
284,2,"100",15
285,2,"100",15
286,2,"100",15
287,2,"100",15
288,2,"100",15
289,2,"100",15
290,2,"100",15
291,2,"100",15
292,2,"100",15
293,2,"100",15
294,2,"100",15
295,2,"100",15
296,2,"100",15
297,2,"100",15
298,2,"100",15
299,2,"100",15
300,2,"100",15
301,2,"100",15
302,2,"100",15
303,2,"100",15
304,2,"100",15
305,2,"100",15
306,2,"100",15
307,2,"100",15
308,2,"100",15
309,2,"100",15
310,2,"100",15
311,2,"100",15
312,2,"100",15
313,2,"100",15
314,2,"100",15
315,2,"100",15
316,2,"100",15
317,2,"100",15
318,2,"100",15
319,2,"100",15
320,2,"100",15
321,2,"100",15
322,2,"100",15
323,2,"100",15
324,2,"100",15
325,2,"100",15
326,2,"100",15
327,2,"100",15
328,2,"100",15
329,2,"100",15
330,2,"100",15
331,2,"100",15
332,2,"100",15
333,2,"100",15
334,2,"100",15
335,2,"100",15
336,2,"100",15
337,2,"100",15
338,2,"100",15
339,2,"100",15
340,2,"100",15
341,2,"100",15
342,2,"100",15
343,2,"100",15
344,2,"100",15
345,2,"100",15
346,2,"100",15
347,2,"100",15
348,2,"100",15
349,2,"100",15
350,2,"100",15
351,2,"100",15
352,2,"100",15
353,2,"100",15
354,2,"100",15
355,2,"100",15
356,2,"100",15
357,2,"100",15
358,2,"100",15
359,2,"100",15
360,2,"100",15
361,2,"100",15
362,2,"100",15
363,2,"100",15
364,2,"100",15
365,2,"100",15
366,2,"100",15
367,2,"100",15
368,2,"100",15
369,2,"100",15
370,2,"100",15
371,2,"100",15
372,2,"100",15
373,2,"100",15
374,2,"100",15
375,2,"100",15
376,2,"100",15
377,2,"100",15
378,2,"100",15
379,2,"100",15
380,2,"100",15
381,2,"100",15
382,2,"100",15
383,2,"100",15
384,2,"100",15
385,2,"100",15
386,2,"100",15
387,2,"100",15
388,2,"100",15
389,2,"100",15
390,2,"100",15
391,2,"100",15
392,2,"100",15
393,2,"100",15
394,2,"100",15
395,2,"100",15
396,2,"100",15
397,2,"100",15
398,2,"100",15
399,2,"100",15
400,2,"100",15
401,2,"100",15
402,2,"100",15
403,2,"100",15
404,2,"100",15
405,2,"100",15
406,2,"100",15
407,2,"100",15
408,2,"100",15
409,2,"100",15
410,2,"100",15
411,2,"100",15
412,2,"100",15
413,2,"100",15
414,2,"100",15
415,2,"100",15
416,2,"100",15
417,2,"100",15
418,2,"100",15
419,2,"100",15
420,2,"100",15
421,2,"100",15
422,2,"100",15
423,2,"100",15
424,2,"100",15
425,2,"100",15
426,2,"100",15
427,2,"100",15
428,2,"100",15
429,2,"100",15
430,2,"100",15
431,2,"100",15
432,2,"100",15
433,2,"100",15
434,2,"100",15
435,2,"100",15
436,2,"100",15
437,2,"100",15
438,2,"100",15
439,2,"100",15
440,2,"100",15
441,2,"100",15
442,2,"100",15
443,2,"100",15
444,2,"100",15
445,2,"100",15
446,2,"100",15
447,2,"100",15
448,2,"100",15
449,2,"100",15
450,2,"100",15
451,2,"100",15
452,2,"100",15
453,2,"100",15
454,2,"100",15
455,2,"100",15
456,2,"100",15
457,2,"100",15
458,2,"100",15
459,2,"100",15
460,2,"100",15
461,2,"100",15
462,2,"100",15
463,2,"100",15
464,2,"100",15
465,2,"100",15
466,2,"100",15
467,2,"100",15
468,2,"100",15
469,2,"100",15
470,2,"100",15
471,2,"100",15
472,2,"100",15
473,2,"100",15
474,2,"100",15
475,2,"100",15
476,2,"100",15
477,2,"100",15
478,2,"100",15
479,2,"100",15
480,2,"100",15
481,2,"100",15
482,2,"100",15
483,2,"100",15
484,2,"100",15
485,2,"100",15
486,2,"100",15
487,2,"100",15
488,2,"100",15
489,2,"100",15
490,2,"100",15
491,2,"100",15
492,2,"100",15
493,2,"100",15
494,2,"100",15
495,2,"100",15
496,2,"100",15
497,2,"100",15
498,2,"100",15
499,2,"100",15
500,2,"100",15
501,2,"100",15
502,2,"100",15
503,2,"100",15
504,2,"100",15
505,2,"100",15
506,2,"100",15
507,2,"100",15
508,2,"100",15
509,2,"100",15
510,2,"100",15
511,2,"100",15
512,2,"100",15
513,2,"100",15
514,2,"100",15
515,2,"100",15
516,2,"100",15
517,2,"100",15
518,2,"100",15
519,2,"100",15
520,2,"100",15
521,2,"100",15
522,2,"100",15
523,2,"100",15
524,2,"100",15
525,2,"100",15
526,2,"100",15
527,2,"100",15
528,2,"100",15
529,2,"100",15
530,2,"100",15
531,2,"100",15
532,2,"100",15
533,2,"100",15
534,2,"100",15
535,2,"100",15
536,2,"100",15
537,2,"100",15
538,2,"100",15
539,2,"100",15
540,2,"100",15
541,2,"100",15
542,2,"100",15
543,2,"100",15
544,2,"100",15
545,2,"100",15
546,2,"100",15
547,2,"100",15
548,2,"100",15
549,2,"100",15
550,2,"100",15
551,2,"100",15
552,2,"100",15
553,2,"100",15
554,2,"100",15
555,2,"100",15
556,2,"100",15
557,2,"100",15
558,2,"100",15
559,2,"100",15
560,2,"100",15
561,2,"100",15
562,2,"100",15
563,2,"100",15
564,2,"100",15
565,2,"100",15
566,2,"100",15
567,2,"100",15
568,2,"100",15
569,2,"100",15
570,2,"100",15
571,2,"100",15
572,2,"100",15
573,2,"100",15
574,2,"100",15
575,2,"100",15
576,2,"100",15
577,2,"100",15
578,2,"100",15
579,2,"100",15
580,2,"100",15
581,2,"100",15
582,2,"100",15
583,2,"100",15
584,2,"100",15
585,2,"100",15
586,2,"100",15
587,2,"100",15
588,2,"100",15
589,2,"100",15
590,2,"100",15
591,2,"100",15
592,2,"100",15
593,2,"100",15
594,2,"100",15
595,2,"100",15
596,2,"100",15
597,2,"100",15
598,2,"100",15
599,2,"100",15
600,2,"100",15
601,2,"100",15
602,2,"100",15
603,2,"100",15
604,2,"100",15
605,2,"100",15
606,2,"100",15
607,2,"100",15
608,2,"100",15
609,2,"100",15
610,2,"100",15
611,2,"100",15
612,2,"100",15
613,2,"100",15
614,2,"100",15
615,2,"100",15
616,2,"100",15
617,2,"100",15
618,2,"100",15
619,2,"100",15
620,2,"100",15
621,2,"100",15
622,2,"100",15
623,2,"100",15
624,2,"100",15
625,2,"100",15
626,2,"100",15
627,2,"100",15
628,2,"100",15
629,2,"100",15
630,2,"100",15
631,2,"100",15
632,2,"100",15
633,2,"100",15
634,2,"100",15
635,2,"100",15
636,2,"100",15
637,2,"100",15
638,2,"100",15
639,2,"100",15
640,2,"100",15
641,2,"100",15
642,2,"100",15
643,2,"100",15
644,2,"100",15
645,2,"100",15
646,2,"100",15
647,2,"100",15
648,2,"100",15
649,2,"100",15
650,2,"100",15
651,2,"100",15
652,2,"100",15
653,2,"100",15
654,2,"100",15
655,2,"100",15
656,2,"100",15
657,2,"100",15
658,2,"100",15
659,2,"100",15
660,2,"100",15
661,2,"100",15
662,2,"100",15
663,2,"100",15
664,2,"100",15
665,2,"100",15
666,2,"100",15
667,2,"100",15
668,2,"100",15
669,2,"100",15
670,2,"100",15
671,2,"100",15
672,2,"100",15
673,2,"100",15
674,2,"100",15
675,2,"100",15
676,2,"100",15
677,2,"100",15
678,2,"100",15
679,2,"100",15
680,2,"100",15
681,2,"100",15
682,2,"100",15
683,2,"100",15
684,2,"100",15
685,2,"100",15
686,2,"100",15
687,2,"100",15
688,2,"100",15
689,2,"100",15
690,2,"100",15
691,2,"100",15
692,2,"100",15
693,2,"100",15
694,2,"100",15
695,2,"100",15
696,2,"100",15
697,2,"100",15
698,2,"100",15
699,2,"100",15
700,2,"100",15
701,2,"100",15
702,2,"100",15
703,2,"100",15
704,2,"100",15
705,2,"100",15
706,2,"100",15
707,2,"100",15
708,2,"100",15
709,2,"100",15
710,2,"100",15
711,2,"100",15
712,2,"100",15
713,2,"100",15
714,2,"100",15
715,2,"100",15
716,2,"100",15
717,2,"100",15
718,2,"100",15
719,2,"100",15
720,2,"100",15
721,2,"100",15
722,2,"100",15
723,2,"100",15
724,2,"100",15
725,2,"100",15
726,2,"100",15
727,2,"100",15
728,2,"100",15
729,2,"100",15
730,2,"100",15
731,2,"100",15
732,2,"100",15
733,2,"100",15
734,2,"100",15
735,2,"100",15
736,2,"100",15
737,2,"100",15
738,2,"100",15
739,2,"100",15
740,2,"100",15
741,2,"100",15
742,2,"100",15
743,2,"100",15
744,2,"100",15
745,2,"100",15
746,2,"100",15
747,2,"100",15
748,2,"100",15
749,2,"100",15
750,2,"100",15
751,2,"100",15
752,2,"100",15
753,2,"100",15
754,2,"100",15
755,2,"100",15
756,2,"100",15
757,2,"100",15
758,2,"100",15
759,2,"100",15
760,2,"100",15
761,2,"100",15
762,2,"100",15
763,2,"100",15
764,2,"100",15
765,2,"100",15
766,2,"100",15
767,2,"100",15
768,2,"100",15
769,2,"100",15
770,2,"100",15
771,2,"100",15
772,2,"100",15
773,2,"100",15
774,2,"100",15
775,2,"100",15
776,2,"100",15
777,2,"100",15
778,2,"100",15
779,2,"100",15
780,2,"100",15
781,2,"100",15
782,2,"100",15
783,2,"100",15
784,2,"100",15
785,2,"100",15
786,2,"100",15
787,2,"100",15
788,2,"100",15
789,2,"100",15
790,2,"100",15
791,2,"100",15
792,2,"100",15
793,2,"100",15
794,2,"100",15
795,2,"100",15
796,2,"100",15
797,2,"100",15
798,2,"100",15
799,2,"100",15
800,2,"100",15
801,2,"100",15
802,2,"100",15
803,2,"100",15
804,2,"100",15
805,2,"100",15
806,2,"100",15
807,2,"100",15
808,2,"100",15
809,2,"100",15
810,2,"100",15
811,2,"100",15
812,2,"100",15
813,2,"100",15
814,2,"100",15
815,2,"100",15
816,2,"100",15
817,2,"100",15
818,2,"100",15
819,2,"100",15
820,2,"100",15
821,2,"100",15
822,2,"100",15
823,2,"100",15
824,2,"100",15
825,2,"100",15
