Position,Complexity,SequenceID,K
0,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
1,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
2,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
3,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
4,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
5,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
6,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
7,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
8,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
9,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
10,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
11,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
12,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
13,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
14,0,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
15,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
16,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
17,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
18,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
19,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
20,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
21,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
22,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
23,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
24,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
25,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
26,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
27,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
28,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
29,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
30,2,"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",15
