Position,Complexity,SequenceID,K
0,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
1,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
2,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
3,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
4,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
5,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
6,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
7,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
8,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
9,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
10,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
11,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
12,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
13,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
14,0,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
15,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
16,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
17,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
18,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
19,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
20,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
21,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
22,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
23,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
24,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
25,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
26,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
27,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
28,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
29,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
30,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
31,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
32,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
33,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
34,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
35,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
36,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
37,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
38,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
39,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
40,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
41,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
42,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
43,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
44,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
45,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
46,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
47,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
48,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
49,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
50,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
51,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
52,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
53,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
54,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
55,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
56,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
57,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
58,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
59,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
60,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
61,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
62,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
63,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
64,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
65,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
66,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
67,0.0243842,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
68,0.0243842,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
69,0.0243842,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
70,2.78338,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
71,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
72,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
73,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
74,0.157541,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
75,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
76,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
77,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
78,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
79,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
80,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
81,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
82,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
83,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
84,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
85,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
86,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
87,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
88,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
89,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
90,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
91,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
92,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
93,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
94,5.75489,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
95,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
96,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
97,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
98,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
99,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
100,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
101,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
102,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
103,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
104,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
105,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
106,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
107,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
108,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
109,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
110,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
111,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
112,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
113,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
114,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
115,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
116,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
117,0.0824622,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
118,0.0558532,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
119,0.0558532,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
120,0.0558532,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
121,0.0558532,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
122,0.0422282,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
123,0.0422282,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
124,0.0422282,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
125,6.70044,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
126,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
127,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
128,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
129,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
130,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
131,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
132,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
133,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
134,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
135,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
136,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
137,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
138,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
139,2,"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",15
