Position,Complexity,SequenceID,K
0,0,"Super ISS Si1240",15
1,0,"Super ISS Si1240",15
2,0,"Super ISS Si1240",15
3,0,"Super ISS Si1240",15
4,0,"Super ISS Si1240",15
5,0,"Super ISS Si1240",15
6,0,"Super ISS Si1240",15
7,0,"Super ISS Si1240",15
8,0,"Super ISS Si1240",15
9,0,"Super ISS Si1240",15
10,0,"Super ISS Si1240",15
11,0,"Super ISS Si1240",15
12,0,"Super ISS Si1240",15
13,0,"Super ISS Si1240",15
14,0,"Super ISS Si1240",15
15,2,"Super ISS Si1240",15
16,2,"Super ISS Si1240",15
17,2,"Super ISS Si1240",15
18,2,"Super ISS Si1240",15
19,2,"Super ISS Si1240",15
20,2,"Super ISS Si1240",15
21,2,"Super ISS Si1240",15
22,2,"Super ISS Si1240",15
23,2,"Super ISS Si1240",15
24,2,"Super ISS Si1240",15
25,2,"Super ISS Si1240",15
26,2,"Super ISS Si1240",15
27,2,"Super ISS Si1240",15
28,2,"Super ISS Si1240",15
29,2,"Super ISS Si1240",15
30,2,"Super ISS Si1240",15
31,2,"Super ISS Si1240",15
32,2,"Super ISS Si1240",15
33,2,"Super ISS Si1240",15
34,2,"Super ISS Si1240",15
35,2,"Super ISS Si1240",15
36,2,"Super ISS Si1240",15
37,2,"Super ISS Si1240",15
38,2,"Super ISS Si1240",15
39,2,"Super ISS Si1240",15
40,2,"Super ISS Si1240",15
41,2,"Super ISS Si1240",15
42,2,"Super ISS Si1240",15
43,2,"Super ISS Si1240",15
44,2,"Super ISS Si1240",15
45,2,"Super ISS Si1240",15
46,2,"Super ISS Si1240",15
47,2,"Super ISS Si1240",15
48,2,"Super ISS Si1240",15
49,2,"Super ISS Si1240",15
50,2,"Super ISS Si1240",15
51,2,"Super ISS Si1240",15
52,2,"Super ISS Si1240",15
53,2,"Super ISS Si1240",15
54,2,"Super ISS Si1240",15
55,2,"Super ISS Si1240",15
56,2,"Super ISS Si1240",15
57,2,"Super ISS Si1240",15
58,2,"Super ISS Si1240",15
59,2,"Super ISS Si1240",15
60,2,"Super ISS Si1240",15
61,2,"Super ISS Si1240",15
62,2,"Super ISS Si1240",15
63,2,"Super ISS Si1240",15
64,2,"Super ISS Si1240",15
65,2,"Super ISS Si1240",15
66,2,"Super ISS Si1240",15
67,2,"Super ISS Si1240",15
68,2,"Super ISS Si1240",15
69,2,"Super ISS Si1240",15
70,2,"Super ISS Si1240",15
71,2,"Super ISS Si1240",15
72,2,"Super ISS Si1240",15
73,2,"Super ISS Si1240",15
74,2,"Super ISS Si1240",15
75,2,"Super ISS Si1240",15
76,2,"Super ISS Si1240",15
77,2,"Super ISS Si1240",15
78,2,"Super ISS Si1240",15
79,2,"Super ISS Si1240",15
80,2,"Super ISS Si1240",15
81,2,"Super ISS Si1240",15
82,2,"Super ISS Si1240",15
83,2,"Super ISS Si1240",15
84,2,"Super ISS Si1240",15
85,2,"Super ISS Si1240",15
86,6.70044,"Super ISS Si1240",15
87,2,"Super ISS Si1240",15
88,2,"Super ISS Si1240",15
89,2,"Super ISS Si1240",15
90,2,"Super ISS Si1240",15
91,2,"Super ISS Si1240",15
92,2,"Super ISS Si1240",15
93,0.157541,"Super ISS Si1240",15
94,0.157541,"Super ISS Si1240",15
95,0.157541,"Super ISS Si1240",15
96,0.157541,"Super ISS Si1240",15
97,0.157541,"Super ISS Si1240",15
98,0.157541,"Super ISS Si1240",15
99,0.157541,"Super ISS Si1240",15
100,0.157541,"Super ISS Si1240",15
101,0.157541,"Super ISS Si1240",15
102,0.0824622,"Super ISS Si1240",15
103,0.0824622,"Super ISS Si1240",15
104,0.0824622,"Super ISS Si1240",15
105,0.0824622,"Super ISS Si1240",15
106,0.0824622,"Super ISS Si1240",15
107,0.0824622,"Super ISS Si1240",15
108,0.0824622,"Super ISS Si1240",15
109,0.0824622,"Super ISS Si1240",15
110,0.0824622,"Super ISS Si1240",15
111,0.0824622,"Super ISS Si1240",15
112,0.0824622,"Super ISS Si1240",15
113,0.0824622,"Super ISS Si1240",15
114,0.0558532,"Super ISS Si1240",15
115,0.0558532,"Super ISS Si1240",15
116,0.0558532,"Super ISS Si1240",15
117,0.0558532,"Super ISS Si1240",15
118,0.0558532,"Super ISS Si1240",15
119,0.0558532,"Super ISS Si1240",15
120,0.0558532,"Super ISS Si1240",15
121,0.0558532,"Super ISS Si1240",15
122,0.0558532,"Super ISS Si1240",15
123,0.0558532,"Super ISS Si1240",15
124,0.0558532,"Super ISS Si1240",15
125,0.0558532,"Super ISS Si1240",15
126,0.0558532,"Super ISS Si1240",15
127,0.0558532,"Super ISS Si1240",15
128,0.0558532,"Super ISS Si1240",15
129,0.0558532,"Super ISS Si1240",15
130,0.0558532,"Super ISS Si1240",15
131,0.0558532,"Super ISS Si1240",15
132,0.0558532,"Super ISS Si1240",15
133,0.0558532,"Super ISS Si1240",15
134,0.0558532,"Super ISS Si1240",15
135,0.0558532,"Super ISS Si1240",15
136,0.0558532,"Super ISS Si1240",15
137,0.0558532,"Super ISS Si1240",15
138,0.0558532,"Super ISS Si1240",15
139,0.0558532,"Super ISS Si1240",15
140,0.0558532,"Super ISS Si1240",15
141,0.0558532,"Super ISS Si1240",15
142,0.0558532,"Super ISS Si1240",15
143,0.0558532,"Super ISS Si1240",15
144,0.0558532,"Super ISS Si1240",15
145,0.0558532,"Super ISS Si1240",15
146,0.0558532,"Super ISS Si1240",15
147,0.0558532,"Super ISS Si1240",15
148,0.0558532,"Super ISS Si1240",15
149,0.0558532,"Super ISS Si1240",15
150,0.0558532,"Super ISS Si1240",15
151,0.0558532,"Super ISS Si1240",15
152,0.0558532,"Super ISS Si1240",15
153,0.0558532,"Super ISS Si1240",15
154,0.0558532,"Super ISS Si1240",15
155,0.0558532,"Super ISS Si1240",15
156,0.0558532,"Super ISS Si1240",15
157,0.0558532,"Super ISS Si1240",15
158,0.0558532,"Super ISS Si1240",15
159,0.0558532,"Super ISS Si1240",15
160,0.0558532,"Super ISS Si1240",15
161,0.0558532,"Super ISS Si1240",15
162,0.0558532,"Super ISS Si1240",15
163,0.0558532,"Super ISS Si1240",15
164,0.0558532,"Super ISS Si1240",15
165,0.0558532,"Super ISS Si1240",15
166,0.0558532,"Super ISS Si1240",15
167,0.0558532,"Super ISS Si1240",15
168,0.0558532,"Super ISS Si1240",15
169,0.0558532,"Super ISS Si1240",15
170,0.0558532,"Super ISS Si1240",15
171,0.0558532,"Super ISS Si1240",15
172,0.0558532,"Super ISS Si1240",15
173,0.0558532,"Super ISS Si1240",15
174,0.0558532,"Super ISS Si1240",15
175,0.0558532,"Super ISS Si1240",15
176,0.452512,"Super ISS Si1240",15
177,0.0558532,"Super ISS Si1240",15
178,0.0558532,"Super ISS Si1240",15
179,0.0558532,"Super ISS Si1240",15
180,0.0558532,"Super ISS Si1240",15
181,0.0558532,"Super ISS Si1240",15
182,0.0558532,"Super ISS Si1240",15
183,0.0558532,"Super ISS Si1240",15
184,0.0558532,"Super ISS Si1240",15
185,0.0558532,"Super ISS Si1240",15
186,0.0558532,"Super ISS Si1240",15
187,0.0558532,"Super ISS Si1240",15
188,0.0558532,"Super ISS Si1240",15
189,0.0558532,"Super ISS Si1240",15
190,0.0422282,"Super ISS Si1240",15
191,0.0422282,"Super ISS Si1240",15
192,0.0339473,"Super ISS Si1240",15
193,0.0339473,"Super ISS Si1240",15
194,0.0339473,"Super ISS Si1240",15
195,0.0339473,"Super ISS Si1240",15
196,0.0339473,"Super ISS Si1240",15
197,0.0339473,"Super ISS Si1240",15
198,0.0339473,"Super ISS Si1240",15
199,0.0339473,"Super ISS Si1240",15
200,0.0339473,"Super ISS Si1240",15
201,0.0339473,"Super ISS Si1240",15
202,0.0339473,"Super ISS Si1240",15
203,0.0339473,"Super ISS Si1240",15
204,0.0339473,"Super ISS Si1240",15
205,0.0339473,"Super ISS Si1240",15
206,0.0339473,"Super ISS Si1240",15
207,0.0339473,"Super ISS Si1240",15
208,0.0339473,"Super ISS Si1240",15
209,0.0339473,"Super ISS Si1240",15
210,0.0339473,"Super ISS Si1240",15
211,0.0283818,"Super ISS Si1240",15
212,0.0283818,"Super ISS Si1240",15
213,0.0283818,"Super ISS Si1240",15
214,0.0283818,"Super ISS Si1240",15
215,0.0283818,"Super ISS Si1240",15
216,0.0283818,"Super ISS Si1240",15
217,0.0243842,"Super ISS Si1240",15
218,0.0243842,"Super ISS Si1240",15
219,0.0243842,"Super ISS Si1240",15
220,0.0243842,"Super ISS Si1240",15
221,0.0243842,"Super ISS Si1240",15
222,0.0243842,"Super ISS Si1240",15
223,0.0243842,"Super ISS Si1240",15
224,0.0243842,"Super ISS Si1240",15
225,0.0243842,"Super ISS Si1240",15
226,0.0243842,"Super ISS Si1240",15
227,0.0243842,"Super ISS Si1240",15
228,0.245411,"Super ISS Si1240",15
229,0.0283818,"Super ISS Si1240",15
230,0.0283818,"Super ISS Si1240",15
231,0.0283818,"Super ISS Si1240",15
232,0.0283818,"Super ISS Si1240",15
233,0.0283818,"Super ISS Si1240",15
234,0.0243842,"Super ISS Si1240",15
235,0.245411,"Super ISS Si1240",15
236,0.0283818,"Super ISS Si1240",15
237,0.289507,"Super ISS Si1240",15
238,0.0339473,"Super ISS Si1240",15
239,0.0283818,"Super ISS Si1240",15
240,0.0283818,"Super ISS Si1240",15
241,0.0283818,"Super ISS Si1240",15
242,0.0283818,"Super ISS Si1240",15
243,0.0283818,"Super ISS Si1240",15
244,0.0283818,"Super ISS Si1240",15
245,0.0283818,"Super ISS Si1240",15
246,0.0283818,"Super ISS Si1240",15
247,0.0283818,"Super ISS Si1240",15
248,0.0283818,"Super ISS Si1240",15
249,0.289507,"Super ISS Si1240",15
250,0.0339473,"Super ISS Si1240",15
251,0.0283818,"Super ISS Si1240",15
252,0.0283818,"Super ISS Si1240",15
253,0.289507,"Super ISS Si1240",15
254,0.0339473,"Super ISS Si1240",15
255,0.0339473,"Super ISS Si1240",15
256,0.0339473,"Super ISS Si1240",15
257,0.0339473,"Super ISS Si1240",15
258,0.0339473,"Super ISS Si1240",15
259,0.0339473,"Super ISS Si1240",15
260,0.0339473,"Super ISS Si1240",15
