Position,Complexity,SequenceID,K
0,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
1,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
2,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
3,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
4,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
5,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
6,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
7,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
8,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
9,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
10,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
11,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
12,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
13,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
14,0,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
15,2,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
16,2,"gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence",15
