Position,Complexity,SequenceID,K
0,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
1,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
2,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
3,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
4,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
5,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
6,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
7,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
8,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
9,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
10,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
11,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
12,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
13,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
14,0,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
15,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
16,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
17,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
18,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
19,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
20,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
21,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
22,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
23,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
24,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
25,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
26,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
27,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
28,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
29,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
30,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
31,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
32,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
33,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
34,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
35,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
36,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
37,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
38,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
39,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
40,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
41,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
42,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
43,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
44,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
45,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
46,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
47,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
48,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
49,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
50,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
51,2,"gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome",15
