Sequence,"OR353425.1 Octopus vulgaris mitochondrion, complete genome","NC_001348.1 Human herpesvirus 3, complete genome","NC_005831.2 Human Coronavirus NL63, complete genome","Super ISS Si1240","Super MUL 720","gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome","gi|20522139|ref|NC_003810.1| Spinach latent virus putative movement protein and putative coat protein genes, complete cds","gi|98960844|ref|NC_008037.1| Prune dwarf virus segment RNA2, complete sequence","ContaXT bug","gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence","gi|1003725858|ref|NC_029626.1| Lake Sarah-associated circular virus-49 isolate LSaCV-49-LSGA-2013, complete sequence","gi|1003725940|ref|NC_029635.1| Lake Sarah-associated circular virus-46 isolate LSaCV-46-LSSO-2013, complete sequence","gi|1003725950|ref|NC_029636.1| Lake Sarah-associated circular virus-22 isolate LSaCV-22-LSMU-2013, complete sequence","gi|1003725973|ref|NC_029638.1| Lake Sarah-associated circular virus-47 isolate LSaCV-47-LSCO-2013, complete sequence","gi|1006610892|ref|NC_029645.1| Norovirus GIII, complete genome","gi|19744910|ref|NC_003464.1| Apple mosaic virus RNA 1 putative methyltransferase/helicase gene, complete cds","gi|19744912|ref|NC_003465.1| Apple mosaic virus RNA 2 putative polymerase gene, complete cds","gi|19919963|ref|NC_003507.1| Beet soil-borne mosaic virus RNA3 29K protein gene, complete cds","gi|20428596|ref|NC_003750.1| Rice ragged stunt virus segment S2 P2 gene, complete cds","gi|20428604|ref|NC_003758.1| Rice ragged stunt virus autocatalytic protease precurser gene, complete cds"
"OR353425.1 Octopus vulgaris mitochondrion, complete genome",0.079306,1.000010,1.000156,1.000000,1.000000,1.000156,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"NC_001348.1 Human herpesvirus 3, complete genome",1.000014,0.078775,1.000400,1.000000,1.000000,1.000296,0.999017,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"NC_005831.2 Human Coronavirus NL63, complete genome",1.000274,1.000088,0.078860,1.000000,1.000000,0.449488,1.000221,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"Super ISS Si1240",1.000000,1.000000,1.000000,0.078771,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"Super MUL 720",1.000000,1.000000,1.000000,1.000000,0.078771,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"gi|49169782|ref|NC_005831.2| Human Coronavirus NL63, complete genome",1.000274,1.000065,0.449381,1.000000,1.000000,0.078988,1.000221,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"gi|20522139|ref|NC_003810.1| Spinach latent virus putative movement protein and putative coat protein genes, complete cds",1.000000,0.999982,1.000018,1.000000,1.000000,1.000018,0.078771,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"gi|98960844|ref|NC_008037.1| Prune dwarf virus segment RNA2, complete sequence",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.078771,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999271,1.000000,1.000000,1.000000
"ContaXT bug",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.078771,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
"gi|1003725824|ref|NC_029621.1| Lake Sarah-associated circular molecule 8 isolate LSaCM-8-LSGA-2013, complete sequence",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.079089,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
